ISBN,TITLE,,AUTHOR,AUTHORID,PUBLISHER,PUBLICATION DATE,PAGES,GENRE,LISTPRICE,SALEPRICE,WHOLESALEPRICE,IMAGENAME,IMAGE,FORMAT,DESCRIPTION
978-1501139154,Leonardo da Vinci,,Walter Isaacson,38,Simon & Schuster,10/17/2017,624,Biography,35,20.98,16.78,Leonardo da ,"https://images-na.ssl-images-amazon.com/images/I/51PHThzD-2L._SX330_BO1,204,203,200_.jpg",.png,"Leonardo’s delight at combining diverse passions remains the ultimate recipe for creativity. So, too, does his ease at being a bit of a misfit: illegitimate, gay, vegetarian, left-handed, easily distracted, and at times heretical. His life should remind us of the importance of instilling, both in ourselves and our children, not just received knowledge but a willingness to question it—to be imaginative and, like talented misfits and rebels in any era, to think different."
978-0374360979,The Pout-Pout Fish,,Deborah Diesen,39,"Farrar, Straus and Giroux",8/6/2013,34,Children,7.99,5.79,4.63,The Pout-Pou,"https://images-na.ssl-images-amazon.com/images/I/51wYUOlClbL._SX497_BO1,204,203,200_.jpg",.png,"Swim along with the pout-pout fish as he discovers that being glum and spreading ""dreary wearies"" isn't really his destiny. Bright ocean colors and playful rhyme come together in Deborah Diesen's fun fish story that's sure to turn even the poutiest of frowns upside down."
978-0545791342,Harry Potter and the Prisoner of Azkaban: The Illustrated Edition ,,J.K. Rowling,53,Arthur A. Levine Books,10/3/2017,336,Children,39.99,31.99,25.59,Harry Potter,"https://images-na.ssl-images-amazon.com/images/I/61mc3mRBvoL._SX420_BO1,204,203,200_.jpg",.png,Harry Potter isn't safe not even within the walls of his magical school. Surrounded by his friends because on top of it all there may well be a traitor in their midst.
978-0374300210,If Animals Kissed Goodnight,,Ann Whitford Paul,40,"Farrar, Straus and Giroux",6/3/2014,34,Children,9.99,7.19,5.75,If Animals K,"https://images-na.ssl-images-amazon.com/images/I/51LsPRlVbGL._SY498_BO1,204,203,200_.jpg",.png,"With whimsical art and playful rhyming verse, this picture book is now in board book format for the first time, perfect for bedtime snuggles."
978-0805047905,"Brown Bear, Brown Bear, What Do You See?",,Bill Martin Jr.,41,Henry Holt and Co.,9/15/1996,28,Children,9.43,6.08,4.86,"Brown Bear, ","https://images-na.ssl-images-amazon.com/images/I/51430n%2B9jlL._SX355_BO1,204,203,200_.jpg",.png,"A big happy frog, a plump purple cat, a handsome blue horse, and a soft yellow duck--all parade across the pages of this delightful book. Children will immediately respond to Eric Carle's flat, boldly colored collages. Combined with Bill Martin's singsong text, they create unforgettable images of these endearing animals"
978-0786965601,Player's Handbook (Dungeons & Dragons),,Wizards RPG Team,42,Wizards of the Coast,8/19/2014,320,Puzzles & Games,49.95,33.19,26.55,Player's Han,"https://images-na.ssl-images-amazon.com/images/I/510Cy8v8H3L._SX378_BO1,204,203,200_.jpg",.png,Dungeons & Dragons immerses you in a world of adventure. Explore ancient ruins and deadly dungeons. Battle monsters while searching for legendary treasures. Gain experience and power as you trek across uncharted lands with your companions.
978-1419708459,"Rosie Revere, Engineer",,Andrea Beaty,43,Harry N. Abrams,9/3/2013,32,Children,17.95,12.08,9.66,Rosie Revere,"https://images-na.ssl-images-amazon.com/images/I/61QUOPxsOUL._SX409_BO1,204,203,200_.jpg",.png,"Rosie may seem quiet during the day, but at night she's a brilliant inventor of gizmos and gadgets who dreams of becoming a great engineer. When her great-great-aunt Rose (Rosie the Riveter) comes for a visit and mentions her one unfinished goal--to fly--Rosie sets to work building a contraption to make her aunt's dream come true. But when her contraption doesn't fl y but rather hovers for a moment and then crashes, Rosie deems the invention a failure. On the contrary, Aunt Rose inisists that Rosie's contraption was a raging success. You can only truly fail, she explains, if you quit."
978-1627790642,Killing England: The Brutal Struggle for American Independence,,Bill O'Reilly,44,Henry Holt and Co.,9/19/2017,352,History,30,15,12,Killing Engl,"https://images-na.ssl-images-amazon.com/images/I/51xh2OTm7nL._SX326_BO1,204,203,200_.jpg",.png,"The breathtaking latest installment in Bill O’Reilly and Martin Dugard’s mega-bestselling Killing series transports readers to the most important era in our nation’s history, the Revolutionary War. Told through the eyes of George Washington, Benjamin Franklin, Thomas Jefferson, and Great Britain’s King George III, Killing England chronicles the path to independence in gripping detail, taking the reader from the battlefields of America to the royal courts of Europe. What started as protest and unrest in the colonies soon escalated to a world war with devastating casualties. O’Reilly and Dugard recreate the war’s landmark battles, including Bunker Hill, Long Island, Saratoga, and Yorktown, revealing the savagery of hand-to-hand combat and the often brutal conditions under which these brave American soldiers lived and fought. Also here is the reckless treachery of Benedict Arnold and the daring guerilla tactics of the “Swamp Fox” Frances Marion. A must read, Killing England reminds one and all how the course of history can be changed through the courage and determination of those intent on doing the impossible."
978-0803736801,Dragons Love Tacos,,Adam Rubin,45,Dial Books,6/14/2012,40,Children,16.99,11.45,9.16,Dragons Love,"https://images-na.ssl-images-amazon.com/images/I/61SvlEqWZuL._SY498_BO1,204,203,200_.jpg",.png,"Dragons love tacos. They love chicken tacos, beef tacos, great big tacos, and teeny tiny tacos. So if you want to lure a bunch of dragons to your party, you should definitely serve tacos. Buckets and buckets of tacos. Unfortunately, where there are tacos, there is also salsa. And if a dragon accidentally eats spicy salsa . . . oh, boy. You're in red-hot trouble."
978-1595555274,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,,Dave Ramsey,46,Thomas Nelson,September 17. 2013,272,Personal Finance,24.99,14.49,11.59,The Total Mo,"https://images-na.ssl-images-amazon.com/images/I/513Lw71xA7L._SX392_BO1,204,203,200_.jpg",.png,"By now, you’ve heard all the nutty get-rich-quick schemes, the fiscal diet fads that leave you with a lot of kooky ideas but not a penny in your pocket. Hey, if you’re tired of the lies and sick of the false promises, take a look at this—it’s the simplest, most straightforward game plan for completely making over your money habits. And it’s based on results, not pie-in-the-sky fantasies."
978-1501100109,10-Day Green Smoothie Cleanse,,JJ Smith,47,Atria Books,7/15/2014,192,Health,15.99,9.59,7.67,10-Day Green,"https://images-na.ssl-images-amazon.com/images/I/51gt3e1hp2L._SX324_BO1,204,203,200_.jpg",.png,"This book provides a shopping list, recipes, and detailed instructions for the 10-day cleanse, along with suggestions for getting the best results. It also offers advice on how to continue to lose weight and maintain good health afterwards. Are you ready to look slimmer, healthier, and sexier than you have in years? Then get ready to begin the 10-Day Green Smoothie Cleanse!"
978-0545795661,Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,,Scholastic,48,Scholastic Inc.,7/28/2015,432,Children,11.99,8.39,6.71,Pokémon Del,"https://images-na.ssl-images-amazon.com/images/I/616HjU2H3lL._SX332_BO1,204,203,200_.jpg",.png,"This comprehensive guide book is an absolute must-have for Pokémon Trainers of all ages! It's got all the facts and figures you ever wanted to know about Pokémon in one convenient, easy-to-read format. And it's the perfect reference for Trainers looking to master the world of  Pokémon Go."
978-1623158088,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,,Amy Ramos,49,Rockridge Press,12/20/2016,158,Health,11.99,8.5,6.8,The Complete,"https://images-na.ssl-images-amazon.com/images/I/61hG18Us8LL._SX404_BO1,204,203,200_.jpg",.png,"Endorsed by the Mayo Clinic and others in the medical community, the ketogenic diet has been proven as a healthy, effective way of achieving weight loss, as it consists of low-carb, high fat foods that prompt the body to burn fat for energy instead of glucose."
978-1592408412,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",,Brene Brown,50,Avery,4/7/2015,320,Self-Help,17,13.59,10.87,Daring Great,"https://images-na.ssl-images-amazon.com/images/I/51wVfOxEKRL._SX328_BO1,204,203,200_.jpg",.png,"Daring Greatly is not about winning or losing. It’s about courage. In a world where “never enough” dominates and feeling afraid has become second nature, vulnerability is subversive. Uncomfortable. It’s even a little dangerous at times. And, without question, putting ourselves out there means there’s a far greater risk of getting criticized or feeling hurt. But when we step back and examine our lives, we will find that nothing is as uncomfortable, dangerous, and hurtful as standing on the outside of our lives looking in and wondering what it would be like if we had the courage to step into the arena—whether it’s a new relationship, an important meeting, the creative process, or a difficult family conversation. Daring Greatly is a practice and a powerful new vision for letting ourselves be seen."
978-1501124020,Principles: Life and Work,,Ray Dalio,51,Simon & Schuster,9/19/2017,592,Business,30,17.99,14.39,Principles: ,"https://images-na.ssl-images-amazon.com/images/I/41Mq7Ss7lPL._SX331_BO1,204,203,200_.jpg",.png,"In Principles, Dalio shares what he’s learned over the course of his remarkable career. He argues that life, management, economics, and investing can all be systemized into rules and understood like machines. The book’s hundreds of practical lessons, which are built around his cornerstones of “radical truth” and “radical transparency,” include Dalio laying out the most effective ways for individuals and organizations to make decisions, approach challenges, and build strong teams. He also describes the innovative tools the firm uses to bring an idea meritocracy to life, such as creating “baseball cards” for all employees that distill their strengths and weaknesses, and employing computerized decision-making systems to make believability-weighted decisions. While the book brims with novel ideas for organizations and institutions, Principles also offers a clear, straightforward approach to decision-making that Dalio believes anyone can apply, no matter what they’re seeking to achieve."
978-1455540419,"Al Franken, Giant of the Senate",,Al Franken,52,Twelve,5/30/2017,416,Politics & Social Science,28,14.99,11.99,"Al Franken, ","https://images-na.ssl-images-amazon.com/images/I/51KBpKVRPYL._SX330_BO1,204,203,200_.jpg",.png,"In this candid personal memoir, the honorable gentleman from Minnesota takes his army of loyal fans along with him from Saturday Night Live to the campaign trail, inside the halls of Congress, and behind the scenes of some of the most dramatic and/or hilarious moments of his new career in politics. Has Al Franken become a true Giant of the Senate? Franken asks readers to decide for themselves."
978-1423160939,"Magnus Chase and the Gods of Asgard, Book 3 The Ship of the Dead",,Rick Riordan,60,Disney-Hyperion,10/3/2017,432,Children,19.99,14.23,11.38,Magnus Chase,"https://images-na.ssl-images-amazon.com/images/I/61RdD2N2mEL._SX328_BO1,204,203,200_.jpg",.png,"Magnus Chase, a once-homeless teen, is a resident of the Hotel Valhalla and one of Odin's chosen warriors. As the son of Frey, the god of summer, fertility, and health, Magnus isn't naturally inclined to fighting. But he has strong and steadfast friends, including Hearthstone the elf, Blitzen the dwarf, and Samirah the Valkyrie, and together they have achieved brave deeds, such as defeating Fenris Wolf and battling giants for Thor's hammer, Mjolnir. Now Magnus faces his most dangerous trial yet. His cousin, Annabeth, recruits her boyfriend, Percy Jackson, to give Magnus some pointers, but will his training be enough? Loki is free from his chains. He's readying Naglfar, the Ship of the Dead, complete with a host of giants and zombies, to sail against the Asgardian gods and begin the final battle of Ragnarok. It's up to Magnus and his friends to stop him, but to do so they will have to sail across the oceans of Midgard, Jotunheim, and Niflheim in a desperate race to reach Naglfar before it's ready to sail. Along the way, they will face angry sea gods, hostile giants, and an evil fire-breathing dragon. Magnus's biggest challenge will be facing his own inner demons. Does he have what it takes to outwit the wily trickster god?"
978-0545790352,Harry Potter and the Sorcerer's Stone: The Illustrated Edition,,J.K. Rowling,53,Arthur A. Levine Books,10/6/2015,256,Children,39.99,27.99,22.39,Harry Potter,"https://images-na.ssl-images-amazon.com/images/I/51MIi4p2YyL._SX418_BO1,204,203,200_.jpg",.png,"Harry Potter has never been the star of a Quidditch team, scoring points while riding a broom far above the ground. He knows no spells, has never helped to hatch a dragon, and has never worn a cloak of invisibility. All he knows is a miserable life with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley -- a great big swollen spoiled bully. Harry's room is a tiny closet at the foot of the stairs, and he hasn't had a birthday party in eleven years. But all that is about to change when a mysterious letter arrives by owl messenger: a letter with an invitation to an incredible place that Harry -- and anyone who reads about him -- will find unforgettable."
978-0399226908,The Very Hungry Caterpillar,,Eric Carle,54,Philomel Books,3/23/1994,26,Children,9.99,6.89,5.51,The Very Hun,"https://images-na.ssl-images-amazon.com/images/I/41zqrOnjpTL._SY343_BO1,204,203,200_.jpg",.png,"THE all-time classic picture book, from generation to generation, sold somewhere in the world every 30 seconds! Have you shared it with a child or grandchild in your life?"
978-0553522778,Puppy Birthday to You!,,Golden Books,55,Golden Books,7/28/2015,24,Children,6.99,4.96,3.97,Puppy Birthd,"https://images-na.ssl-images-amazon.com/images/I/61f9XW6Ul1L._SX417_BO1,204,203,200_.jpg",.png,Can the puppies from Nickelodeon’s PAW Patrol throw Chase a surprise birthday party AND save Adventure Bay? This action-packed Little Golden Book is sure to thrill boys and girls ages 2 to 5.
978-0800788032,Laugh-Out-Loud Jokes for Kids,,Rob Elliott,56,Revell,8/1/2010,128,Children,4.99,3.61,2.89,Laugh-Out-Lo,"https://images-na.ssl-images-amazon.com/images/I/51i3dHT2YCL._SX301_BO1,204,203,200_.jpg",.png,"What happens to race car drivers when they eat too much? They get indy-gestion. Laugh-Out-Loud Jokes for Kids provides children ages 7-10 many hours of fun and laughter. Young readers will have a blast sharing this collection of hundreds of one-liners, knock knock jokes, tongue twisters, and more with their friends and family! This mega-bestselling book will have children rolling on the floor with laughter and is sure to be a great gift idea for any child."
978-1328683786,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",,Timothy Ferriss,57, Houghton Mifflin Harcourt,12/6/2016,736,Self-Help,30,18,14.4,Tools of Tit,"https://images-na.ssl-images-amazon.com/images/I/517pTQTkCrL._SX258_BO1,204,203,200_.jpg",.png,"“Everything within these pages has been vetted, explored, and applied to my own life in some fashion. I’ve used dozens of the tactics and philosophies in high-stakes negotiations, high-risk environments, or large business dealings. The lessons have made me millions of dollars and saved me years of wasted effort and frustration."
978-1973124269,Milk and Vine,,"Adam Gasiewski, Emily Beck","58,59",Independent,10/22/2017,77,Humor,7.99,5.99,4.79,Milk and Vin,"https://images-na.ssl-images-amazon.com/images/I/41tkZsGQL8L._SX331_BO1,204,203,200_.jpg",.png,"Parodying the popular poetry book Milk and Honey, Milk and Vine offers a beautifully designed reflection of the thought-provoking ideas that spread through this amazing platform."
978-1484746424,The Trials of Apollo Book Two The Dark Prophecy,,Rick Riordan,60,Disney-Hyperion,5/2/2017,432,Fiction,19.99,12.09,9.67,The Trials o,"https://images-na.ssl-images-amazon.com/images/I/51MDMlQaxlL._SX326_BO1,204,203,200_.jpg",.png,"Zeus has punished his son Apollo--god of the sun, music, archery, poetry, and more--by casting him down to earth in the form of a gawky, acne-covered sixteen-year-old mortal named Lester. The only way Apollo can reclaim his rightful place on Mount Olympus is by restoring several Oracles that have gone dark. What is affecting the Oracles, and how can Apollo/Lester do anything about them without his powers?"
978-0553496673,"Everything, Everything",,Nicola Yoon,61,Ember,3/7/2017,352,Teens,10.99,8.79,7.03,"Everything, ","https://images-na.ssl-images-amazon.com/images/I/61MHYW%2BzxWL._SX334_BO1,204,203,200_.jpg",.png,"What if you couldn’t touch anything in the outside world? Never breathe in the fresh air, feel the sun warm your face . . . or kiss the boy next door? In Everything, Everything, Maddy is a girl who’s literally allergic to the outside world, and Olly is the boy who moves in next door . . . and becomes the greatest risk she’s ever taken."
978-1591846444,Start with Why: How Great Leaders Inspire Everyone to Take Action,,Simon Sinek,62,Portfolio,12/27/2011,256,Business,16,12.85,10.28,Start with W,"https://images-na.ssl-images-amazon.com/images/I/51fRj1bsD5L._SX330_BO1,204,203,200_.jpg",.png,"In 2009, Simon Sinek started a movement to help people become more inspired at work, and in turn inspire their colleagues and customers. Since then, millions have been touched by the power of his ideas, including more than 28 million who’ve watched his TED Talk based on START WITH WHY -- the third most popular TED video of all time."
978-0393609097,Norse Mythology,,Neil Gaiman,63,W. W. Norton & Company,2/7/2017,304,Fiction,25.95,18.16,14.53,Norse Mythol,"https://images-na.ssl-images-amazon.com/images/I/51C7IGsOYHL._SX329_BO1,204,203,200_.jpg",.png,"In Norse Mythology, Gaiman stays true to the myths in envisioning the major Norse pantheon: Odin, the highest of the high, wise, daring, and cunning; Thor, Odin’s son, incredibly strong yet not the wisest of gods; and Loki―son of a giant―blood brother to Odin and a trickster and unsurpassable manipulator."
978-1503943377,Beneath a Scarlet Sky: A Novel,,Mark Sullivan,64,Lake Union Publishing,5/1/2017,524,Fiction,14.95,8.63,6.9,Beneath a Sc,"https://images-na.ssl-images-amazon.com/images/I/51pcmD%2BvWhL._SX340_BO1,204,203,200_.jpg",.png,"Pino Lella wants nothing to do with the war or the Nazis. He’s a normal Italian teenager—obsessed with music, food, and girls—but his days of innocence are numbered. When his family home in Milan is destroyed by Allied bombs, Pino joins an underground railroad helping Jews escape over the Alps, and falls for Anna, a beautiful widow six years his senior."
978-1400205875,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",,Lysa TerKeurst,65,Thomas Nelson,8/9/2016,288,Religion,16.99,10.71,8.57,Uninvited: L,https://images-na.ssl-images-amazon.com/images/I/81nIIfyUAYL.jpg,.png,"The enemy wants us to feel rejected . . . left out, lonely, and less than."
978-0544854413,The Whole30 Cookbook: 150 Delicious and Totally Compliant Recipes to Help You Succeed with the Whole30 and Beyond,,Melissa Hartwig,10,Houghton Mifflin Harcourt,12/6/2016,320,Nutrition,30,20.98,16.78,The Whole30 ,https://images-na.ssl-images-amazon.com/images/I/61RD8GSg1aL.jpg,.png,"The groundbreaking Whole30 program has helped countless people transform their lives by bringing them better sleep, more energy, fewer cravings, weight loss, and new healthy habits that last a lifetime. In this cookbook, best-selling author and Whole30 co-creator Melissa Hartwig delivers over 150 all-new recipes to help readers prepare delicious, healthy meals during their Whole30 and beyond."
978-1609580834,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition",,Valorie Lee Schaefer,66,Amer Girl,3/26/2012,104,Children,12.99,8.89,7.11,The Care and,https://images-na.ssl-images-amazon.com/images/I/71FyeNq2hbL.jpg,.png,"ur best-selling body book for girls just got even better! With all-new illustrations and updated content for girls ages 8 and up, it features tips, how-tos, and facts from the experts. (Medical consultant: Cara Natterson, MD.) You'll find answers to questions about your changing body, from hair care to healthy eating, bad breath to bras, periods to pimples, and everything in between. Once you feel comfortable with what's happening, you'll be ready to move on to the The Care & Keeping of You 2!"
978-0743247542,The Glass Castle: A Memoir,,Jeannette Walls,67,Scribner,1/17/2006,288,Biography,17,9.69,7.75,The Glass Ca,https://images-na.ssl-images-amazon.com/images/I/71VBpx0qsmL.jpg,.png,"The Glass Castle is a remarkable memoir of resilience and redemption, and a revelatory look into a family at once deeply dysfunctional and uniquely vibrant. When sober, Jeannette’s brilliant and charismatic father captured his children’s imagination, teaching them physics, geology, and how to embrace life fearlessly. But when he drank, he was dishonest and destructive. Her mother was a free spirit who abhorred the idea of domesticity and didn’t want the responsibility of raising a family."
978-0743273565,THE GREAT GATSBY,,F. Scott Fitzgerald,68,Scribner,9/30/2004,180, Literature & Fiction,16,9.19,7.35,THE GREAT GA,https://images-na.ssl-images-amazon.com/images/I/81mEbZQOrXL.jpg,.png,"The Great Gatsby, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drink and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s."
